residue,steric_parameter,polarizability,volume,hydrophobicity,isoelectric_pt,helix_prob,sheet_prob
ALA,1.28,0.05,1.00,0.31,6.11,0.42,0.23
GLY,0.00,0.00,0.00,0.00,6.07,0.13,0.15
VAL,3.67,0.14,3.00,1.22,6.02,0.27,0.49
LEU,2.59,0.19,4.00,1.70,6.04,0.39,0.31
ILE,4.19,0.19,4.00,1.80,6.04,0.30,0.45
PHE,2.94,0.29,5.89,1.79,5.67,0.30,0.38
TYR,2.94,0.30,6.47,0.96,5.66,0.25,0.41
TRP,3.21,0.41,8.08,2.25,5.94,0.32,0.42
THR,3.03,0.11,2.60,0.26,5.60,0.21,0.36
SER,1.31,0.06,1.60,-0.04,5.70,0.20,0.28
ARG,2.34,0.29,6.13,-1.01,10.74,0.36,0.25
LYS,1.89,0.22,4.77,-0.99,9.99,0.32,0.27
HIS,2.99,0.23,4.66,0.13,7.69,0.27,0.30
ASP,1.60,0.11,2.78,-0.77,2.95,0.25,0.20
GLU,1.56,0.15,3.78,-0.64,3.09,0.42,0.21
ASN,1.60,0.13,2.95,-0.60,6.52,0.21,0.22
GLN,1.56,0.18,3.95,-0.22,5.65,0.36,0.25
MET,2.35,0.22,4.43,1.23,5.71,0.38,0.32
PRO,2.67,0.00,2.72,0.72,6.80,0.13,0.34
CYS,1.77,0.13,2.43,1.54,6.35,0.17,0.41
